step	generator	AUROC	TPR_at_1pct_FPR
5	mixtral-8x7b-instruct-v0.1	0.3780	0.0000
5	o3-mini	0.5121	0.0000
5	qwen1.5-72b-chat-8bit	0.3291	0.0000
5	text-bison-002	0.2880	0.0145
5	MACRO_AVG	0.4611	0.0102
5	GLOBAL_TPR_AT_1FPR	-	0.0095
10	deepseek-r1-distill-qwen-32b	0.7987	0.0849
10	falcon3-10b-instruct	0.8447	0.0796
10	gemini-1.5-pro	0.7588	0.1034
10	gemini-2.0-flash	0.8038	0.1295
10	gemini-pro	0.8411	0.0169
10	gemini-pro-paraphrase	0.8608	0.0000
10	gpt-3.5-turbo	0.9052	0.1600
10	gpt-4-turbo	0.9138	0.0476
10	gpt-4-turbo-paraphrase	0.8739	0.0000
10	gpt-4.5-preview	0.8119	0.2000
10	gpt-4o	0.8936	0.2010
10	gpt-4o-mini	0.8732	0.2430
10	llama-2-70b-chat	0.8809	0.0000
10	llama-2-7b-chat	0.8605	0.0000
10	llama-3.1-8b-instruct	0.7933	0.0633
10	llama-3.3-70b-instruct	0.8385	0.0370
10	ministral-8b-instruct-2410	0.8592	0.0719
10	mistral-7b-instruct-v0.2	0.8923	0.0000
10	mixtral-8x7b-instruct-v0.1	0.8618	0.0143
10	o3-mini	0.8347	0.0985
10	qwen1.5-72b-chat-8bit	0.8992	0.0317
10	text-bison-002	0.8786	0.0145
10	MACRO_AVG	0.8536	0.0726
10	GLOBAL_TPR_AT_1FPR	-	0.1246
15	deepseek-r1-distill-qwen-32b	0.7589	0.1604
15	falcon3-10b-instruct	0.7936	0.1858
15	gemini-1.5-pro	0.7504	0.2276
15	gemini-2.0-flash	0.7907	0.2950
15	gemini-pro	0.8509	0.0000
15	gemini-pro-paraphrase	0.8841	0.0429
15	gpt-3.5-turbo	0.9028	0.4100
15	gpt-4-turbo	0.9458	0.0794
15	gpt-4-turbo-paraphrase	0.9118	0.0169
15	gpt-4.5-preview	0.8227	0.2889
15	gpt-4o	0.8886	0.4354
15	gpt-4o-mini	0.8655	0.3505
15	llama-2-70b-chat	0.8911	0.0000
15	llama-2-7b-chat	0.8777	0.0139
15	llama-3.1-8b-instruct	0.7806	0.2468
15	llama-3.3-70b-instruct	0.8227	0.0926
15	ministral-8b-instruct-2410	0.8257	0.2446
15	mistral-7b-instruct-v0.2	0.9038	0.0000
15	mixtral-8x7b-instruct-v0.1	0.8669	0.0286
15	o3-mini	0.8113	0.2652
15	qwen1.5-72b-chat-8bit	0.9216	0.0317
15	text-bison-002	0.9000	0.0145
15	MACRO_AVG	0.8531	0.1559
15	GLOBAL_TPR_AT_1FPR	-	0.2543
20	deepseek-r1-distill-qwen-32b	0.8545	0.3585
20	falcon3-10b-instruct	0.9107	0.4602
20	gemini-1.5-pro	0.8283	0.3655
20	gemini-2.0-flash	0.8442	0.3885
20	gemini-pro	0.9397	0.0169
20	gemini-pro-paraphrase	0.9386	0.1286
20	gpt-3.5-turbo	0.9865	0.8600
20	gpt-4-turbo	0.9861	0.3333
20	gpt-4-turbo-paraphrase	0.9716	0.2034
20	gpt-4.5-preview	0.8449	0.3778
20	gpt-4o	0.9512	0.7177
20	gpt-4o-mini	0.9302	0.6308
20	llama-2-70b-chat	0.9652	0.0615
20	llama-2-7b-chat	0.9525	0.0417
20	llama-3.1-8b-instruct	0.8382	0.3671
20	llama-3.3-70b-instruct	0.9300	0.2778
20	ministral-8b-instruct-2410	0.9189	0.4604
20	mistral-7b-instruct-v0.2	0.9615	0.0588
20	mixtral-8x7b-instruct-v0.1	0.9502	0.0286
20	o3-mini	0.8825	0.3939
20	qwen1.5-72b-chat-8bit	0.9758	0.1429
20	text-bison-002	0.9679	0.1014
20	MACRO_AVG	0.9241	0.3080
20	GLOBAL_TPR_AT_1FPR	-	0.5519
25	deepseek-r1-distill-qwen-32b	0.9523	0.6698
25	falcon3-10b-instruct	0.9798	0.8407
25	gemini-1.5-pro	0.8914	0.5586
25	gemini-2.0-flash	0.9248	0.5252
25	gemini-pro	0.9776	0.2373
25	gemini-pro-paraphrase	0.9665	0.3714
25	gpt-3.5-turbo	0.9988	0.9800
25	gpt-4-turbo	0.9955	0.7143
25	gpt-4-turbo-paraphrase	0.9828	0.3390
25	gpt-4.5-preview	0.9032	0.5333
25	gpt-4o	0.9917	0.9043
25	gpt-4o-mini	0.9844	0.8645
25	llama-2-70b-chat	0.9841	0.2923
25	llama-2-7b-chat	0.9776	0.2639
25	llama-3.1-8b-instruct	0.9003	0.5000
25	llama-3.3-70b-instruct	0.9794	0.7593
25	ministral-8b-instruct-2410	0.9798	0.7698
25	mistral-7b-instruct-v0.2	0.9840	0.3088
25	mixtral-8x7b-instruct-v0.1	0.9769	0.2857
25	o3-mini	0.9719	0.7197
25	qwen1.5-72b-chat-8bit	0.9937	0.6667
25	text-bison-002	0.9903	0.5507
25	MACRO_AVG	0.9676	0.5752
25	GLOBAL_TPR_AT_1FPR	-	0.7811
30	deepseek-r1-distill-qwen-32b	0.9885	0.8679
30	falcon3-10b-instruct	0.9951	0.9469
30	gemini-1.5-pro	0.9356	0.6552
30	gemini-2.0-flash	0.9725	0.6619
30	gemini-pro	0.9937	0.8305
30	gemini-pro-paraphrase	0.9847	0.7857
30	gpt-3.5-turbo	0.9997	0.9900
30	gpt-4-turbo	1.0000	1.0000
30	gpt-4-turbo-paraphrase	0.9963	0.8814
30	gpt-4.5-preview	0.9407	0.6667
30	gpt-4o	0.9989	0.9809
30	gpt-4o-mini	0.9973	0.9673
30	llama-2-70b-chat	0.9993	0.9538
30	llama-2-7b-chat	0.9975	0.8750
30	llama-3.1-8b-instruct	0.9313	0.5949
30	llama-3.3-70b-instruct	0.9853	0.9444
30	ministral-8b-instruct-2410	0.9932	0.8993
30	mistral-7b-instruct-v0.2	0.9976	0.8971
30	mixtral-8x7b-instruct-v0.1	0.9965	0.8571
30	o3-mini	0.9934	0.8864
30	qwen1.5-72b-chat-8bit	0.9997	0.9841
30	text-bison-002	0.9971	0.9420
30	MACRO_AVG	0.9861	0.8667
30	GLOBAL_TPR_AT_1FPR	-	0.8867
35	deepseek-r1-distill-qwen-32b	0.9977	0.9623
35	falcon3-10b-instruct	0.9974	0.9912
35	gemini-1.5-pro	0.9549	0.8345
35	gemini-2.0-flash	0.9947	0.9137
35	gemini-pro	0.9948	0.7797
35	gemini-pro-paraphrase	0.9898	0.7286
35	gpt-3.5-turbo	0.9998	0.9950
35	gpt-4-turbo	1.0000	1.0000
35	gpt-4-turbo-paraphrase	0.9951	0.8475
35	gpt-4.5-preview	0.9798	0.8444
35	gpt-4o	0.9999	0.9952
35	gpt-4o-mini	0.9999	1.0000
35	llama-2-70b-chat	0.9974	0.8615
35	llama-2-7b-chat	0.9958	0.7917
35	llama-3.1-8b-instruct	0.9696	0.7911
35	llama-3.3-70b-instruct	0.9966	0.9444
35	ministral-8b-instruct-2410	0.9978	0.9496
35	mistral-7b-instruct-v0.2	0.9952	0.7941
35	mixtral-8x7b-instruct-v0.1	0.9927	0.8000
35	o3-mini	0.9990	0.9848
35	qwen1.5-72b-chat-8bit	0.9995	0.9683
35	text-bison-002	0.9987	0.9275
35	MACRO_AVG	0.9930	0.8957
35	GLOBAL_TPR_AT_1FPR	-	0.9529
40	deepseek-r1-distill-qwen-32b	0.9987	0.9623
40	falcon3-10b-instruct	0.9984	0.9912
40	gemini-1.5-pro	0.9582	0.8138
40	gemini-2.0-flash	0.9960	0.9353
40	gemini-pro	0.9968	0.8983
40	gemini-pro-paraphrase	0.9916	0.8429
40	gpt-3.5-turbo	0.9998	0.9900
40	gpt-4-turbo	0.9995	0.9841
40	gpt-4-turbo-paraphrase	0.9989	0.9661
40	gpt-4.5-preview	0.9896	0.8444
40	gpt-4o	0.9998	0.9904
40	gpt-4o-mini	0.9999	0.9953
40	llama-2-70b-chat	1.0000	1.0000
40	llama-2-7b-chat	0.9990	0.9722
40	llama-3.1-8b-instruct	0.9748	0.7911
40	llama-3.3-70b-instruct	0.9979	0.9630
40	ministral-8b-instruct-2410	0.9972	0.9424
40	mistral-7b-instruct-v0.2	0.9989	0.9412
40	mixtral-8x7b-instruct-v0.1	0.9980	0.9429
40	o3-mini	0.9992	0.9773
40	qwen1.5-72b-chat-8bit	1.0000	1.0000
40	text-bison-002	0.9992	0.9710
40	MACRO_AVG	0.9951	0.9416
40	GLOBAL_TPR_AT_1FPR	-	0.9433
45	deepseek-r1-distill-qwen-32b	0.9987	0.9623
45	falcon3-10b-instruct	0.9984	0.9912
45	gemini-1.5-pro	0.9582	0.8138
45	gemini-2.0-flash	0.9960	0.9353
45	gemini-pro	0.9968	0.8983
45	gemini-pro-paraphrase	0.9916	0.8429
45	gpt-3.5-turbo	0.9998	0.9900
45	gpt-4-turbo	0.9995	0.9841
