step	attack	AUROC
175	no_attack	0.9998
175	t5_paraphrase	1.0000
175	synonym_replacement	0.9998
175	homoglyphs	1.0000
175	article_deletion	0.9997
175	misspelling	0.9999
175	number_swap	0.9998
175	whitespace_addition	1.0000
175	upper_lower_swap	1.0000
175	zero_width_space	1.0000
175	insert_paragraphs	0.9994
175	alternative_spelling	0.9998
180	no_attack	0.9998
180	t5_paraphrase	1.0000
180	synonym_replacement	0.9998
180	homoglyphs	1.0000
180	article_deletion	0.9997
180	misspelling	0.9999
180	number_swap	0.9998
180	whitespace_addition	1.0000
180	upper_lower_swap	1.0000
180	zero_width_space	1.0000
180	insert_paragraphs	0.9993
180	alternative_spelling	0.9998
185	no_attack	0.9998
185	t5_paraphrase	1.0000
185	synonym_replacement	0.9998
185	homoglyphs	1.0000
185	article_deletion	0.9997
185	misspelling	0.9999
185	number_swap	0.9998
185	whitespace_addition	1.0000
185	upper_lower_swap	1.0000
185	zero_width_space	1.0000
185	insert_paragraphs	0.9994
185	alternative_spelling	0.9998
190	no_attack	0.9998
190	t5_paraphrase	1.0000
190	synonym_replacement	0.9998
190	homoglyphs	1.0000
190	article_deletion	0.9997
190	misspelling	0.9999
190	number_swap	0.9998
190	whitespace_addition	1.0000
190	upper_lower_swap	1.0000
190	zero_width_space	1.0000
190	insert_paragraphs	0.9994
190	alternative_spelling	0.9998
195	no_attack	0.9998
195	t5_paraphrase	1.0000
195	synonym_replacement	0.9998
195	homoglyphs	1.0000
195	article_deletion	0.9997
195	misspelling	0.9999
195	number_swap	0.9998
195	whitespace_addition	1.0000
195	upper_lower_swap	1.0000
195	zero_width_space	1.0000
195	insert_paragraphs	0.9994
195	alternative_spelling	0.9998
200	no_attack	0.9998
200	t5_paraphrase	1.0000
200	synonym_replacement	0.9998
200	homoglyphs	1.0000
200	article_deletion	0.9997
200	misspelling	0.9999
200	number_swap	0.9998
200	whitespace_addition	1.0000
200	upper_lower_swap	1.0000
200	zero_width_space	1.0000
200	insert_paragraphs	0.9994
200	alternative_spelling	0.9998
